image,label1,label2
dataset/1652875851.3497071/0024.jpg,0.0390625,0.0
dataset/1652875851.3497071/0025.jpg,0.2109375,0.0
dataset/1652875851.3497071/0026.jpg,0.390625,0.0
dataset/1652875851.3497071/0027.jpg,0.421875,0.0
dataset/1652875851.3497071/0028.jpg,0.421875,0.0
dataset/1652875851.3497071/0029.jpg,0.4453125,0.0
dataset/1652875851.3497071/0030.jpg,0.6171875,0.0
dataset/1652875851.3497071/0031.jpg,0.6328125,0.0
dataset/1652875851.3497071/0032.jpg,0.6484375,0.0
dataset/1652875851.3497071/0033.jpg,0.6484375,0.0
dataset/1652875851.3497071/0034.jpg,0.6484375,0.0
dataset/1652875851.3497071/0035.jpg,0.6484375,0.0
dataset/1652875851.3497071/0036.jpg,0.6484375,0.0
dataset/1652875851.3497071/0037.jpg,0.6484375,0.0
dataset/1652875851.3497071/0038.jpg,0.6484375,0.0
dataset/1652875851.3497071/0039.jpg,0.6484375,0.0
dataset/1652875851.3497071/0040.jpg,0.6484375,0.0
dataset/1652875851.3497071/0041.jpg,0.6484375,0.0
dataset/1652875851.3497071/0042.jpg,0.6484375,0.0
dataset/1652875851.3497071/0043.jpg,0.6484375,0.0
dataset/1652875851.3497071/0044.jpg,0.6484375,0.0
dataset/1652875851.3497071/0045.jpg,0.6484375,0.0
dataset/1652875851.3497071/0046.jpg,0.6484375,0.0
dataset/1652875851.3497071/0047.jpg,0.6484375,0.0
dataset/1652875851.3497071/0048.jpg,0.6484375,0.0
dataset/1652875851.3497071/0049.jpg,0.6484375,0.0
dataset/1652875851.3497071/0050.jpg,0.6484375,0.0
dataset/1652875851.3497071/0051.jpg,0.6484375,-1.0
dataset/1652875851.3497071/0052.jpg,0.6484375,0.0
dataset/1652875851.3497071/0053.jpg,0.6484375,0.0
dataset/1652875851.3497071/0054.jpg,0.6484375,0.0
dataset/1652875851.3497071/0055.jpg,0.6484375,0.0
dataset/1652875851.3497071/0056.jpg,0.6484375,0.0
dataset/1652875851.3497071/0057.jpg,0.6484375,-1.0
dataset/1652875851.3497071/0058.jpg,0.6484375,0.0
dataset/1652875851.3497071/0059.jpg,0.8515625,0.0
dataset/1652875851.3497071/0060.jpg,0.859375,0.0
dataset/1652875851.3497071/0061.jpg,0.8515625,0.0
dataset/1652875851.3497071/0062.jpg,0.84375,0.0
dataset/1652875851.3497071/0063.jpg,0.796875,0.0
dataset/1652875851.3497071/0064.jpg,0.7890625,0.0
dataset/1652875851.3497071/0065.jpg,0.7890625,0.0
dataset/1652875851.3497071/0066.jpg,0.78125,0.0
dataset/1652875851.3497071/0067.jpg,0.75,0.0
dataset/1652875851.3497071/0068.jpg,0.75,0.0
dataset/1652875851.3497071/0069.jpg,0.75,0.0
dataset/1652875851.3497071/0070.jpg,0.75,0.0
dataset/1652875851.3497071/0071.jpg,0.75,0.0
dataset/1652875851.3497071/0072.jpg,0.7265625,0.0
dataset/1652875851.3497071/0073.jpg,0.7265625,-1.0
dataset/1652875851.3497071/0074.jpg,0.7265625,0.0
dataset/1652875851.3497071/0075.jpg,0.7265625,0.0
dataset/1652875851.3497071/0076.jpg,0.7265625,0.0
dataset/1652875851.3497071/0077.jpg,0.7265625,0.0
dataset/1652875851.3497071/0078.jpg,0.7265625,0.0
dataset/1652875851.3497071/0079.jpg,0.7265625,0.0
dataset/1652875851.3497071/0080.jpg,0.7265625,0.0
dataset/1652875851.3497071/0081.jpg,0.7265625,0.0
dataset/1652875851.3497071/0082.jpg,0.7265625,0.0
dataset/1652875851.3497071/0083.jpg,0.7265625,-0.0703125
dataset/1652875851.3497071/0084.jpg,0.7265625,0.0
dataset/1652875851.3497071/0085.jpg,0.71875,-1.0
dataset/1652875851.3497071/0086.jpg,0.71875,0.0
dataset/1652875851.3497071/0087.jpg,0.703125,0.0
dataset/1652875851.3497071/0088.jpg,0.6953125,0.0
dataset/1652875851.3497071/0089.jpg,0.6953125,0.0
dataset/1652875851.3497071/0090.jpg,0.6953125,0.0
dataset/1652875851.3497071/0091.jpg,0.6953125,0.0
dataset/1652875851.3497071/0092.jpg,0.6875,0.0
dataset/1652875851.3497071/0093.jpg,0.6796875,0.0
dataset/1652875851.3497071/0094.jpg,0.6796875,0.0
dataset/1652875851.3497071/0095.jpg,0.6875,0.0
dataset/1652875851.3497071/0096.jpg,0.6875,0.9921875
dataset/1652875851.3497071/0097.jpg,0.6640625,0.0
dataset/1652875851.3497071/0098.jpg,0.6484375,0.0
dataset/1652875851.3497071/0099.jpg,0.6484375,0.0
dataset/1652875851.3497071/0100.jpg,0.6484375,0.9921875
dataset/1652875851.3497071/0101.jpg,0.6484375,0.9921875
dataset/1652875851.3497071/0102.jpg,0.6484375,0.9921875
dataset/1652875851.3497071/0103.jpg,0.6484375,0.9921875
dataset/1652875851.3497071/0104.jpg,0.6484375,0.9921875
dataset/1652875851.3497071/0105.jpg,0.6484375,0.0
dataset/1652875851.3497071/0106.jpg,0.6484375,0.0
dataset/1652875851.3497071/0107.jpg,0.6484375,0.0
dataset/1652875851.3497071/0108.jpg,0.6484375,0.0
dataset/1652875851.3497071/0109.jpg,0.6484375,0.9921875
dataset/1652875851.3497071/0110.jpg,0.65625,0.9921875
dataset/1652875851.3497071/0111.jpg,0.6640625,0.0
dataset/1652875851.3497071/0112.jpg,0.734375,0.0
dataset/1652875851.3497071/0113.jpg,0.7421875,0.9921875
dataset/1652875851.3497071/0114.jpg,0.7421875,0.9921875
dataset/1652875851.3497071/0115.jpg,0.7421875,0.9921875
dataset/1652875851.3497071/0116.jpg,0.7421875,0.9921875
dataset/1652875851.3497071/0117.jpg,0.7421875,0.0
dataset/1652875851.3497071/0118.jpg,0.7421875,0.0
